project_id,project_themes
3100,Food Waste Management
3100,Youth
3100,Coffee
3100,Olives
3177,Alternative Energy
3177,Clean Energy
3177,Climate Change
3177,Community Empowerment
3176,Alternative Energy
3176,Electricity
3176,Polution Reduction
2261,Clean Energy
2261,Community Empowerment
2261,Rural Electrification
2261,Social Justice
2261,Welfare
3236,Innovation
3236,Polution Reduction
3236,Solar Energy
3240,Alternative Energy
3240,Biogas
3240,Environment Friendly
4384,Affordable Energy
4384,Alternative Energy
4384,Sustainable Energy
4384,"Sustainable Manufacturing, Cooperativism"
4384,The Vulnerable Members Of Our Society
4509,Accessibility
4509,Inclusion
4509,Solar Water Heater
4509,Sustainable Energy
4509,The Vulnerable Members Of Our Society
4510,Accessibility
4510,Solar Water Heater
4510,Sustainable Energy
4510,The Vulnerable Members Of Our Society
4546,Construction
4546,Inclusion
4546,Movilidad
4546,Renewable Energy
4546,Sustainability Strategy
4548,Reneweable Energy
4548,Accessibility
4548,Inclusion
4548,Reneweable Energy
4548,Sustainability Strategy
4551,Reneweable Energy
4551,Access
4551,Affordable Energy
4551,Inclusion
4551,Reneweable Energy
4552,Reneweable Energy
4552,Affordable Energy
4552,Alternative Energy
4552,Inclusion
4553,Accessibility
4553,Alternative Energy
4553,Community
4553,Inclusion
4553,Renewable Energy
4559,Alternative Energy
4559,Cooling
4559,Food Preservation
4559,Food Waste
4562,Accessibility
4562,Alternative Energy
4562,Inclusion
4562,Renewable Energy
4589,Reneweable Energy
4589,Alternative Energy
4590,Reneweable Energy
4590,Accessibility
4590,Alternative Energy
4591,Reneweable Energy
4591,Alternative Energy
4592,Reneweable Energy
4592,Alternative Energy
4645,Reneweable Energy
4645,Alternative Energy
4645,Solar Energy
4646,Reneweable Energy
4646,Affordable Energy
4646,Green Infraestructure
4646,Wind Energy
4742,Energy Efficiency
4742,Renewable Energy
4742,Solar Energy
4766,Reneweable Energy
4766,Affordable Energy
4766,Eco-Efficient Cooking
4769,Reneweable Energy
4769,Affordable Energy
4769,Biodigestion
4770,Energy Efficiency
4770,Renewable Energy
4770,Solar Energy
4771,Eco-Efficient Cooking
4771,Energy Efficiency
4771,Renewable Energy
4772,Affordable Energy
4772,Gender
4772,Inclusion
4772,Renewable Energy
4772,Sustainable Energy
4773,Affordable Energy
4773,Alternative Energy
4773,Food Preservation
4779,Affordable Energy
4779,Clean Cooking
4779,Renewable Energy
4779,Solar Energy
4779,Sustainable Energy
4780,Community
4780,Education
4780,Renewable Energy
4780,Sustainable Energy
5319,Reneweable Energy
5319,Biogas
5319,Sustainable Energy
5319,Biofertilizer
2314,Clean Energy
2314,Water
4371,Alternative Energy
4371,Clean Energy
4371,Climate Change
4563,Alternative Energy
4563,Electricity
4563,Energy
4564,Reneweable Energy
4564,Biogas
4564,Nature-Based Solutions
4564,Sustainable Energy
4564,Waste Management
4633,Solar Energy
4672,Solar Energy
4673,Biofuel
4675,Irrigation
4675,Solar Energy
4688,Solar Energy
5299,Circular Economy
5299,Energy
5299,Solar Energy
5299,Batteries
2993,Circular Economy
2993,Energy
2993,Energy Efficiency
2993,Entrepreneurship
2993,Solar Energy
3160,Solar Energy
3160,Street Vendors
1560,Biodigestion
1560,Energy
3029,Blue Economy
3029,Plastic Alternative
3029,Solar Energy
3029,Water
4748,Affordable Agricultural & Industrial Machineries
4748,Agricultural Mechanization
4748,Renewable Energy
4748,Rural Electrification
4748,Solar Energy
4751,Affordable Energy
4751,Agrotech
4944,Cooking
4944,Employment
4944,Food
4944,Health And Wellbeing
4944,Solar Energy
5111,Pollution Reduction
5111,Solar Energy
5111,Food Cooking
5113,Climate Change
5113,Sanitation
5113,Solar Energy
5113,Water
5151,Affordable Energy
5151,Health
5151,Solar Energy
5156,Solar Energy
5156,Traffic Light
5156,Road
5156,City
5159,Water
5159,Wind Energy
5159,Pumping
5161,Employment
5161,Energy
5161,Fuel
5161,Waste Management
1747,Deforestation
1747,Energy
1747,Environment Friendly
1822,Clean Energy
1822,Recycle Waste Plant
1822,Saving Cost
5037,Cooking
5037,Efficiency
5037,Energy Saving
5040,Cooking
5040,Energy Efficiency
5040,Energy Saving
5040,Reneweable Energy
5041,Reneweable Energy
5041,Electricity
5041,Energy Saving
5041,Sustainable Energy
5042,Clean Energy
5042,Electricity
5042,Energy Efficiency
5042,Sustainable Energy
5051,Biogas
5051,Clean Energy
5051,Cooking
5120,Reneweable Energy
5120,Cooling
5120,Energy Saving
5120,Solar Energy
5122,Affordable Energy
5122,Alternative Energy
5122,Cooking
5122,Health And Wellbeing
5142,Clean Cooking
5142,Clean Energy
5160,Clean Cooking
5160,Energy Efficiency
5160,Polution Reduction
2849,Agriculture
2849,Biodigestion
2849,Re-Use
2849,Soil Fertility
2849,Waste Management
2848,Alternative Energy
2848,Deforestation
2848,Informal Employment
2848,Pollution Reduction
2848,Solid Waste Management
2847,Food Preservation
2847,Food Security
2847,Solar Energy
2739,Energy
2739,Iluminacion
2739,Internet
2703,Energy
22,Energy
19,Energy
21,Energy
23,Energy
20,Energy
4654,Ancestral Knowledge
4660,Eco-Efficient Cooking
4662,Clean Energy
4662,Appropiate Technology
4664,Appropiate Technology
4765,Biodigestion
4816,Behavioral Change
4950,Solar Energy
4951,Creative Economy
4952,Bioconstruction
5028,Eco-Efficient Cooking
474,Waste Management
781,Access To Basic Services
781,Rurality
776,Social Justice
776,Technology
776,Transportation
776,Rurality
990,Renewable Energy
4353,Cooking Oil
4353,Sustainability Strategy
4353,Waste Management
4353,Biofuel
4354,Solar Energy
4354,Solar Water Heater
4355,Clean Water
4355,Solar Energy
4385,Irrigation
4385,Solar Energy
4511,Renewable Energy
1780,Recycling
1780,Single Use Plastic
1780,Tourism
4734,Clean Cooking
4734,Reducing Gender Inequalities
4734,Sustainable Energy
4743,Energy Efficiency
3472,Energy Efficiency
3472,Renewable Energy
4346,Solar Energy
4352,Energy Efficiency
4352,Energy Saving
4352,Women In Energy Sector
4356,Affordable Energy
4356,Clean Energy
4356,Food
4358,Clean Energy
4358,Sustainable Energy
4358,Upcycling
4358,Waste For Livelihoods
4360,Clean Energy
4360,Energy
4360,Stove
4362,Carbon Emission
4363,Sustainable Energy
4363,Transportation & Mobility
3121,Organic Waste
3121,Solid Waste Management
1554,Circular Economy
1554,Innovation
1554,Recycling
1554,Waste Management
4934,Clean Energy
4971,Affordable Energy
4971,Rural Electrification
4972,Affordable Energy
4972,Clean Energy
4972,Energy Saving
4973,Affordable Energy
4973,Alternative Energy
4973,Clean Energy
4974,Ecological
4974,Ecological Firewood
4975,Alternative Energy
4975,Clean Energy
4976,Clean Energy
4977,Alternative Energy
4977,Renewable Energy
4977,Transportation & Mobility
4978,Clean Energy
4017,Air Pollution
4017,Forest Conservation
4017,Health
4017,Health And Wellbeing
4017,Reduction Of Emissions
4011,Clean Energy
4011,Ecological
4011,Reduction Of Emissions
4011,Women Participation
4014,Affordable Energy
4014,Clean Cities
4014,Clean Energy
4014,Reduction Of Emissions
4014,Solar Energy
4012,Affordable Energy
4012,Energy Efficiency
4012,Panels
4012,Rurality
4012,Sustainable Energy
4013,Alternative Energy
4013,Clean Energy
4013,Sustainable Energy
4013,Woodchips
4013,Prevention Of Deforestation
5020,Affordable Energy
5020,Alternative Energy
5020,Energy Saving
5020,Sustainable Energy
5162,Citizen Science
5162,Prototyping
5162,Safety
5162,Security
5164,Electricity
5164,Electronic Waste
5164,Epower Agregetor
5164,Self-Employment
5375,Affordable Energy
5375,Bio Energy
5375,Clean Energy
5375,Energy Saving
5375,Renewable Energy
5376,Reneweable Energy
5376,Affordable Energy
5376,Clean Energy
5376,Energy Saving
5376,Sustainable Energy
5377,Clean Energy
5377,Energy Saving
5377,Sustainable Energy
2535,Community Service
2535,Energy
2535,Recycling
2535,Reuse
76,Climate Change
152,Circular Economy
152,Climate Change
152,Entrepreneurship
152,Air Pollution
151,Sustainable Urbanisation
149,Climate Change
149,Energy
163,Climate Change
163,Energy
150,Climate Change
150,Energy
1784,Road Traffic Safety
1784,Rurality
1784,Street Vendors
1784,Transportation
1784,Urbanization
795,Agriculture
795,Climate Change
795,Environment Friendly
1595,Climate Change
1595,Environment Friendly
1595,Innovation
1595,Technology
3829,Solar Energy
3829,Youth
1112,Livestock Production
3414,Circular Economy
3414,Clean Energy
3414,Plastic Waste Management
2507,Air Pollution
2507,Community Resilience
2507,Energy
2510,Agriculture
2510,Livelihood
2510,Retail
3369,Air Pollution
3369,Biotechnology
3369,Community Involment
3369,Innovation Challenges
3369,Waste Management
2359,Air Pollution
2359,Biotechnology
2359,Circular Economy
2359,Climate Change
2359,Organic Waste
1648,Energy
1648,Innovation
1648,Technology
4834,Transportation & Mobility
4921,Clean Energy
4921,Sustainable Energy
4926,Clean Energy
4926,Clean Water
4926,Sustainable Energy
4927,Clean Cooking
4927,Clean Energy
4928,Affordable Energy
4928,Clean Energy
4928,Sustainable Energy
1756,Energy
1758,Energy
1758,Solid Waste Management
2080,Clean Energy
2080,Energy
140,Climate Change
140,Energy
140,Plastic Alternative
140,Solid Waste Management
140,Technology
2099,Energy
2099,Transportation
2136,Circular Economy
2136,Clean Energy
2136,Rural Electrification
2119,Alternative Energy
2119,Clean Energy
2119,Inclusive And Solidary Communities
2119,Livelihood
2118,Energy
139,Energy
139,Technology
139,Transportation
2143,Energy
2769,Alternative Energy
2769,Indigenous Rights
2769,Partnership
2769,Solar Energy
2100,Clean Energy
2100,Climate Change
2100,Energy
2100,Transportation
2177,Energy
2177,Solar Energy
146,Access To Basic Services
146,Energy
146,Plastic Alternative
2103,Agriculture
2103,Irrigation
31,Energy
31,Solid Waste Management
4374,Alternative Energy
4374,Electricity
4374,Transportation
4374,Women Employment
4374,Women In Energy Sector
4537,Biofuel
4537,Gas
4537,Pollution Reduction
4630,Bicycle
4630,Electricity
4630,Energy Saving
4630,Sustainable Energy
4697,Plastic Waste
4697,Private Sector
4697,Recycle Waste Plastic
2674,Solar Energy
1086,Community Involvement
1086,Energy
1606,Agriculture
1606,Food Security
1606,Food Waste
1606,Innovation
1606,Solar Energy
3458,Alternative Energy
3458,Clean Energy
3458,Protecting The Environment
3458,Recycle Waste Plant
3458,Waste Management
3423,Alternative Energy
3423,Clean Energy
3423,Climate Change
3423,Protecting The Environment
3423,Renewable Energy
3854,Green Ideas
3854,Green Infraestructure
3854,Urban Development
3854,Urbanization
4651,Affordable Energy
4651,Cooking
4651,Innovation
4651,Renewable Energy
4651,Wood
4661,Clean Energy
4661,Solar Energy
4661,Wood Gas
4665,Clean Energy
4665,Solar Energy
4667,Clean Energy
4667,Solar Energy
4667,Sustainable Energy
4668,Reneweable Energy
4668,Clean Energy
4668,Solar Energy
4669,Clean Energy
4669,Ocean Conservation
4669,Solar Energy
4670,Clean Water
4670,Renewable Energy
4670,Solar Energy
4671,Renewable Energy
4671,Solar Energy
4671,Sustainable Energy
4677,Reneweable Energy
4677,Clean Energy
4677,Solar Energy
4678,Reneweable Energy
4678,Solar Energy
4678,Sustainable Fashion
4679,Reneweable Energy
4679,Clean Energy
4679,Solar Energy
4680,Reneweable Energy
4680,Clean Energy
4680,Solar Energy
4680,Wind Energy
4682,Reneweable Energy
4682,Food Security
4683,Reneweable Energy
4683,Clean Energy
4683,Food Security
4683,Innovation
4686,Reneweable Energy
4686,Clean Energy
4686,Food Processing
4686,Food Security
4687,Reneweable Energy
4687,Clean Energy
4687,Innovation
4687,Solar Energy
3832,Clean Energy
3832,Climate Resiliency
3832,Renewable Energy
3832,Solar Energy
4066,Community Resilience
4066,Food Preservation
4066,Food Processing
4066,Process Innovation
3924,Clean Energy
3924,Climate Change
3924,Innovation
3924,Sustainable Energy
4784,Clean Cooking
4784,Clean Energy
4785,Clean Energy
4785,Solar Energy
4818,Energy
4819,Energy
4819,Private Sector
4820,Energy
4820,Private Sector
4821,Energy
4821,Private Sector
4822,Energy
4822,Private Sector
4823,Energy
4823,Private Sector
4824,Energy
4824,Private Sector
4825,Energy
4825,Private Sector
4826,Energy
4826,Private Sector
4826,Energy Transitions
4827,Energy
4827,Private Sector
4828,Energy
4828,Private Sector
4829,Energy
4829,Private Sector
4835,Health And Wellbeing
4835,Poverty
4837,Affordable Energy
4837,Environmental Education
4837,Gender Equality
4837,Health And Wellbeing
4837,Poverty
4838,Solar Energy
4839,Renewable Energy
4839,Solar Energy
4899,Responsible Consumption & Production
4900,Clean Energy
4900,Renewable Energy
4900,Solar Energy
4901,Solar Water Heater
4902,Clean Energy
4902,Energy
4902,Renewable Energy
4902,Solar Energy
4904,Access To Education
4904,Quality Education
4904,Renewable Energy
4905,Solar Energy
4905,Women Empowerment
4907,Renewable Energy
4907,Solar Energy
4922,Clean Energy
4922,Sustainable Energy
4923,Clean Energy
4923,Energy
4923,Solar Energy
5048,Inclusive Economic Development
5048,Solar Energy
2287,Entrepreneurship
4744,Affordable Energy
4744,Innovation
4792,Clean Cooking
4792,Health And Environment
4792,Innovation
4792,Innovation Challenges
4792,Stove
4795,Reneweable Energy
4795,Clean Energy
4795,Innovation
4796,Energy
4796,Technology
4796,Waste For Livelihoods
4796,Waste Reduction
1674,Circular Economy
1674,Environment Friendly
1674,Sustainable Urbanisation
1707,Energy
1707,Environment Friendly
1685,Energy
1678,Deforestation
1678,Energy
1738,Deforestation
1738,Energy
1738,Environment Friendly
1736,Energy
1736,Solar Energy
4728,Reneweable Energy
4728,Biofuel
4728,Biogas
4799,Reneweable Energy
4799,Clean Cooking
4799,Clean Energy
4799,Reneweable Energy
4799,Solar Energy
4806,Biogas
4806,Clean Cooking
4806,Clean Energy
4806,Compost
4924,Clean Energy
4924,Solar Energy
4925,Reneweable Energy
4925,Clean Energy
5343,Reneweable Energy
5343,Bio Energy
5343,Biocoal
3749,Agriculture
3749,Biogas
3749,Clean Energy
1795,Access To Basic Services
1795,Energy
1795,Environment Friendly
1810,Access To Basic Services
1810,Agriculture
1810,Economic Growth
1810,Energy
1810,Irrigation
2851,Behavioral Insights
2851,Clean Energy
1113,Air Pollution
1113,Climate Change
1113,Deforestation
2683,Energy
2683,Innovation
2242,Agriculture
2242,Irrigation
2242,Urban Farming
2242,Water Conservation
4701,Affordable Energy
4701,Solar Energy
4701,Clean Cooking
2183,Agriculture
2183,Behavioral Change
2183,Clean Energy
2183,Community Resilience
5202,Digital Solutions
5202,Alternative Energy
5202,Innovation
5202,Solar Energy
5202,Stove
837,Deforestation
837,Economic Growth
837,Energy
837,Entrepreneurship
836,Energy
836,Waste Management
832,Deforestation
832,Energy
832,Technology
817,Energy
817,Environment Friendly
109,Climate Change
109,Energy
109,Solid Waste Management
839,Agriculture
839,Deforestation
839,Energy
839,Solid Waste Management
43,Climate Change
43,Deforestation
43,Energy
824,Deforestation
824,Energy
803,Deforestation
803,Energy
834,Deforestation
834,Energy
834,Women Participation
1045,Energy
1045,Innovation
1045,Rurality
1045,Technology
42,Agriculture
42,Climate Change
42,Deforestation
42,Energy
821,Deforestation
821,Energy
821,Planting
821,Solid Waste Management
840,Education
840,Training
2529,Access To Basic Services
2529,Alternative Energy
2529,Circular Economy
2529,Clean Energy
1024,Energy
1024,Environment Friendly
1024,Solid Waste Management
2685,Alternative Energy
2685,"Community  Involment, Youth, Employment"
2685,Creative Economy
2685,Energy
2685,Saving Cost
1128,Clean Energy
2690,Alternative Energy
2690,Clean Energy
2690,"Community  Involment, Youth, Employment"
2690,Income Generation
2690,Rural Electrification
1163,Energy
1163,Entrepreneurial Eco-System
1163,Environment Friendly
1163,Informal Businesses To Formal Businesses
1118,Awareness
1118,Biodigestion
1118,Solid Waste Management
1118,Success Story
1160,Climate Change
1160,Energy
1160,Informal Businesses To Formal Businesses
1160,Innovation
1160,Smes
1133,Climate Resiliency
1133,Energy
1133,Rurality
1133,Smes
1157,Climate Change
1157,Deforestation
1157,Entrepreneurial Eco-System
1157,Environment Friendly
1097,Entrepreneurial Eco-System
1097,Environment Friendly
1097,Innovation
1097,Partnership With Private Sector
1097,Water
933,Circular Economy
933,Climate Change
933,"Community  Involment, Youth, Employment"
933,Energy
933,Waste Management
1139,Digital Transformation
1139,Disabilities
1139,Energy
1139,Innovation
1139,Welfare
4938,Affordable Energy
4938,Clean Energy
4938,Water
4938,Water Conservation
4939,Biogas
4939,Energy
4939,Water Management
4940,Affordable Energy
4940,Electricity
4940,Waste Water Management
4940,Water
4940,Zero Waste
4941,Affordable Energy
4941,Renewable Energy
4941,Wind Energy
4942,Reneweable Energy
4942,Agriculture
4942,Solar Energy
4945,Agriculture
4945,Bio-Waste
4945,Energy
4945,Water Management
4947,Affordable Energy
4947,Clean Cooking
4947,Clean Energy
4947,Plastic And Pollution
4948,Affordable Energy
4948,Biogas
4948,Stove
4948,Waste Management
4959,Alternative Energy
4959,Sustainable Energy
4959,Water
4959,Water Management
4961,Affordable Energy
4961,Energy
4961,Techonology
4961,Water
4963,Affordable Energy
4963,Clean Energy
4963,Design
4963,Windpower
4963,Wind
4985,Clean Cooking
4985,Clean Energy
4985,Cooking
4985,Wood Stove
4990,Clean Cooking
4990,Clean Energy
4990,Energy Efficent
4990,Stove
4993,Clean Cooking
4993,Clean Energy
4993,Design
4993,Stove
4999,Clean Cooking
4999,Clean Energy
4999,Design
4999,Stove
5052,Energy
5052,Renewable Energy
5053,Clean Energy
5053,Design
5053,Water
5054,Clean Energy
5054,Hydroponic Farming
5054,Water Conservation
5054,Turbine
5055,Reneweable Energy
5055,Design
5055,Solar Energy
5055,Sustainable Agriculture
5057,Clean Cooking
5057,Environment Friendly
5057,Renewable Energy
5058,Clean Cooking
5058,Design
5058,Renewable Energy
5060,Clean Cooking
5060,Clean Energy
5060,Environment Friendly
5061,Clean Cooking
5061,Cooking
5061,Eco-Efficient Cooking
5061,Environment Friendly
5064,Clean Cooking
5064,Energy Saving
5064,Environment Friendly
5065,Clean Cooking
5065,Cooking
5065,Environment Friendly
5065,Oven
5067,Clean Cooking
5067,Cooking
5067,Environment Friendly
5070,Clean Cooking
5070,Environment Friendly
5070,Stove
5073,Clean Cooking
5073,Cooking
5073,Energy
5073,Environment Friendly
5073,Wood Stove
5075,Clean Cooking
5075,Cooking
5075,Environment Friendly
5075,Environmental Ecosystem
5076,Clean Cooking
5076,Environment Friendly
5076,Gas
5076,Stove
5077,Clean Cooking
5077,Energy
5077,Environment Friendly
5078,Clean Cooking
5078,Clean Energy
5078,Cooking
5078,Environment Friendly
5079,Clean Cooking
5079,Environment Friendly
5079,Stove
5079,Kerosene Stove
5080,Clean Cooking
5080,Cooking
5080,Environment Friendly
5080,Stove
5081,Clean Cooking
5081,Environment Friendly
5081,Modified Stove
5081,Cooking Stove
5081,Fuel Efficient Stove
5083,Clean Cooking
5083,Environment Friendly
5083,Stove
5084,Clean Cooking
5084,Environment Friendly
5084,Stove
5085,Clean Cooking
5085,Environment Friendly
5085,Stove
5086,Clean Cooking
5086,Environment Friendly
5086,Modified Stove
5086,Stove
5087,Clean Cooking
5087,Environment Friendly
5087,Modified Stove
5089,Clean Cooking
5089,Environment Friendly
5089,Stove
5090,Clean Cooking
5090,Environment Friendly
5090,Fuel Efficient Stove
5091,Clean Cooking
5091,Cooking
5091,Environment Friendly
5091,Stove
5092,Clean Cooking
5092,Environment Friendly
5092,Stove
5094,Clean Cooking
5094,Environment Friendly
5094,Stove
